abbrev,name,fips,census_region_name,pop_per_sq_mile,housing_per_sq_mile,n_hospital_beds_2017,n_hospitals_2017,total_hosp_ftes_2017,n_active_mds_2017,n_hospital_admissions_2017,prev_hosp_stays_rate_2017,n_patient_days_short_term_2017,n_medicare_bene_2017,n_medicare_eligible_2018,n_airborn_infec_iso_rooms_2017,n_critical_access_hosp_2017,n_critical_access_st_gen_hosp_2017,n_fqhcs_2018,n_hosp_airborn_infec_iso_rooms_2017,n_hosp_with_ct_2017,n_hosp_with_ed_2017,n_hosp_with_telehealth_eicu_2017,n_hosp_with_urgent_care_2017,n_65yo_below_poverty_level_2017,n_65yo_below_deep_poverty_2017,n_people_below_poverty_level_2017,n_person_below_deep_poverty_level_2017,n_short_term_comm_hosp_2017,n_short_term_gen_hosp_2017,n_skilled_nursing_2017,n_st_gen_hosp_lt50_beds_2017,n_st_gen_hosp_lt100_beds_2017,n_st_gen_hosp_lt200_bed_2017,n_st_gen_hosp_lt300_bed_2017,n_st_gen_hosp_gt300_bed_2017,n_hosp_telemed_chronic_care_2017,n_hosp_telemed_postdischarge_2017,p_65yo_below_poverty_level_2017,p_people_below_deep_poverty_2017,avg_hh_size_2010,census_pop_2000,dist_st_hosp_00_04_services_2017,dist_other_hosp_00_04_services_2017,dist_st_hosp_00_39p_util_rate_2017,dist_st_hosp_05_14_services_2017,dist_other_hosp_05_14_services_2017,dist_st_hosp_15_24_services_2017,dist_other_hosp_15_24_services_2017,dist_st_hosp_25_services_2017,dist_other_hosp_25_services_2017,dist_st_hosp_40_59p_util_rate_2017,dist_st_hosp_60_79p_util_rate_2017,dist_st_hosp_80p_util_rate_2017,n_ed_visits_st_hosp_2017,n_ed_visits_other_hosp_2017,n_licensed_beds_st_hosp_2017,n_licensed_beds_all_hosp_2017,n_households_2010,n_outpatient_visits_st_gen_hosp_2017,n_outpatient_visits_va_hosp_2017,n_male_60_64_2010,n_male_65_74_2010,n_male_75_84_2010,n_total_female_2017,n_total_male_2017,n_pop_2017,n_pop_65yo_2010,n_pop_2018,n_pop_65yo_2017,n_st_comm_hosp_admissions_2017,n_st_comm_hosp_beds_2017,n_st_gen_hosp_admissions_2017,n_st_gen_hosp_beds_2017,n_active_mds_total_2017,n_inpatient_beds_2017,n_medsurg_icu_beds_2017,n_cardiac_icu_beds_2017,n_other_icu_beds_2017,n_neonatal_icu_beds_2017,n_peds_icu_beds_2017,n_burn_icu_beds_2017,n_hosp_with_medsurg_icu_2017,n_hosp_with_cardiac_icu_2017,n_hosp_with_other_icu_2017,n_hosp_with_neonatal_icu_2017,n_hosp_with_peds_icu_2017,n_hosp_with_burn_icu_2017,n_hosp_nursing_home_beds_2017,n_fac_nursing_home_beds_2018,p_18_64_no_insurance_allincome,p_18_64_no_insurance_200poverty,p_18_64_no_insurance_400poverty,n_medsurg_card_other_icu_beds_2017,n_nursing_home_beds_2017,p_nonwhite,p_white,prop_diabetes,CHD_hosp,ob_prev_adj,hypertension_hosp,prop_edu_less_high_school,prop_edu_less_college,prop_food_stamp_SNAP_recip,median_HHI,income_inequal,prop_poverty,unemployment_rate,annual_PM2.5,prop_uninsured,prop_medicaid_eligible,n_households,avg_hh_size,n_65_living_alone,p_65_living_alone,n_hh_grandparents_with_under18,p_hh_grandparents_with_under18,n_hh_with_computer,p_hh_with_computer,n_hh_with_broadband,p_hh_with_broadband,n_usa_native,p_usa_native,gini_coef,p_hh_renter,ice_wb_income,p_group_quarters,premature_mort,severe_housing_problems,severe_housing_cost_burden,p_crowded_housing,high_housing_cost,empower_medicare_bene,empower_power_depend
AL,Autauga,1001,South,91.8,37.2,55,1,0,38,3428,6599,14142,5191,11439,5,0,0,2,1,1,1,0,0,488,126,7483,3194,1,1,1,0,1,0,0,0,0,0,16,59,268,43671,0,0,0,0,0,0,0,1,0,0,1,0,36049,0,85,85,20221,80912,0,1279,1821,841,28497,27007,55504,6546,55601,8392,3428,55,3428,55,42,55,6,0,0,0,0,0,1,0,0,0,0,0,0,0,111,225,160,6,0,24.7333681,75.2666319,9.9,90.1,37.6,183.7,12.3,75,14.5,54.5,0.45,13.5,3.7,11.7,8.5,18.1,21115,2.59,2226,10.5,1109,5.252190386,18368,87,16651,78.9,54086,98,0.4602,25.1,0.145110111,0.009891304,8824.057123,0.149546458,0.126452058,1.1256769,5602,9820,608
AL,Baldwin,1003,South,114.6,65.5,348,4,170,417,18667,3833,69624,25813,54145,0,0,0,4,0,0,0,0,0,2818,882,23728,10023,3,3,7,0,1,2,0,0,0,0,23,50,246,140415,3,0,0,0,1,0,0,0,0,1,2,0,86291,0,0,66,73180,304662,0,5728,8558,4379,109403,103225,212628,30568,218022,42413,17249,298,17249,298,428,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,295,211,0,0,15.82088046,84.17911954,8.5,80.3,31.3,138.1,9.8,69.3,11.3,56.5,0.462,11.7,3.6,10.3,10.7,16.9,78622,2.61,10093,12.8,4077,5.185571469,69635,88.6,61424,78.1,200937,96.6,0.4609,26.4,0.193533617,0.014482934,7224.63216,0.138317253,0.12795922,1.0113881,20651,50539,2374
AL,Barbour,1005,South,31,13.4,47,1,0,11,1259,4736,6407,4081,6681,0,0,0,3,0,0,0,0,0,721,129,6332,2953,1,1,1,1,0,0,0,0,0,0,30,127,247,29038,1,0,1,0,0,0,0,0,0,0,0,0,6661,0,0,0,9820,43783,0,859,1067,498,11935,13335,25270,3909,24881,4757,1259,47,1259,47,11,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,241,196,0,0,54.02114063,45.97885937,15.7,87,44.7,178.1,26.9,88,25.4,32.9,0.462,29.9,5.6,11.5,12.5,29.9,9186,2.49,1333,14.5,766,8.338776399,6986,76.1,5548,60.4,25136,97.5,0.4731,38.6,-0.148160244,0.112481576,9586.165037,0.154555315,0.135867652,2.0237188,2367,5482,252
AL,Bibb,1007,South,36.8,14.4,180,1,0,16,999,5998,47818,2222,5128,1,0,0,4,1,1,1,0,1,295,39,3133,1215,1,1,1,0,0,1,0,0,0,0,12,59,260,20826,0,0,0,0,0,0,0,1,0,0,1,0,6150,0,166,166,7953,53345,0,684,803,370,10530,12138,22668,2906,22400,3632,999,180,999,180,16,180,0,0,0,0,0,0,0,0,0,0,0,0,131,0,130,224,164,0,131,24.82589286,75.17410714,13.3,90.9,37.9,176.4,17.9,86.8,16.8,43.1,0.452,20.1,4.2,11.2,9.7,24.9,6840,2.99,885,12.9,724,10.58479532,5217,76.3,4521,66.1,22202,98.6,0.4294,24.9,0.04751462,0.092821947,11783.54368,0.109608541,0.087338893,0.52053213,1432,4676,233
AL,Blount,1009,South,88.9,37,25,1,0,15,837,4162,4671,5464,13175,5,1,1,1,1,1,1,0,0,963,321,8919,4339,1,1,2,1,0,0,0,0,0,0,33,76,263,51024,0,0,0,0,0,0,0,1,0,1,0,0,15000,0,25,25,21578,34367,0,1700,2391,1102,29406,28607,58013,8439,57840,10351,837,25,837,25,15,25,6,0,0,0,0,0,1,0,0,0,0,0,0,0,171,311,223,6,0,12.23720609,87.76279391,14.9,77.3,34.6,133.3,20.2,86.9,13.7,47.2,0.43,14.1,3.9,11.7,12.1,20.4,20600,2.77,2276,11,1642,7.970873786,16202,78.7,14103,68.5,55132,95.6,0.4331,21.4,0.158737864,0.009419724,10908.10182,0.10401153,0.081944952,1.8076366,3875,9043,599
AL,Bullock,1011,South,17.5,7.2,54,1,0,4,1370,6767,8815,1100,2198,0,0,0,1,0,0,0,0,0,352,12,2852,1501,1,1,1,0,1,0,0,0,0,0,8,150,246,11714,1,0,0,0,0,0,0,0,0,1,0,0,2769,0,0,0,3745,9038,0,330,393,171,4694,5615,10309,1469,10138,1631,1370,54,1370,54,4,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,211,176,0,0,78.39810614,21.60189386,22.4,78.8,39.3,177.7,28.6,86.6,28.7,34.3,0.482,32.6,4.3,11.2,13.2,38.1,3609,2.75,388,10.8,177,4.904405653,2631,72.9,2124,58.9,10256,99.1,0.5174,24.5,-0.327791632,0.041537867,12066.91026,0.207598372,0.193948127,0.10899183,1236,2247,96
AL,Butler,1013,South,27,12.8,83,2,0,10,1522,7962,8828,3545,5073,0,0,0,1,0,0,0,0,0,517,142,4835,1410,2,2,2,1,1,0,0,0,0,0,40,71,243,21399,2,0,2,0,0,0,0,0,0,0,0,0,11344,0,0,0,8491,63747,0,628,839,408,10593,9232,19825,3489,19680,3877,1522,83,1522,83,11,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,222,173,0,0,48.25711382,51.74288618,16.9,86.7,40.9,178.3,18.9,83.9,26.7,35.4,0.45,24.8,5.1,10.6,10.7,34.2,6708,2.94,825,12.3,361,5.38163387,4703,70.1,4169,62.1,19750,98.6,0.4708,30.1,-0.099135361,0.0160799,14018.60626,0.137802607,0.112630609,1.5602838,1809,4561,368
AL,Calhoun,1015,South,195.7,88,402,3,99,191,16101,6450,76669,18482,28487,0,0,0,3,0,0,0,0,0,1754,493,20940,8541,2,2,5,0,1,0,1,0,0,0,27,76,244,112249,2,1,1,0,0,0,0,0,0,0,1,0,37362,0,0,0,47331,159704,0,3372,4319,2174,59579,55149,114728,16990,114277,19862,15805,364,15805,364,191,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,264,199,0,0,26.92317789,73.07682211,15.6,108.9,37.3,180.5,16.8,82.1,21,41.8,0.463,17.1,4.8,11.8,11.2,26.6,45033,2.49,4892,10.9,3695,8.205094042,38124,84.7,32866,73,112039,97.3,0.4676,30.5,0.040414807,0.027037829,12217.75998,0.145388108,0.11579095,1.6053571,11117,26611,1800
AL,Chambers,1017,South,57.4,28.5,0,0,0,26,0,5511,0,6132,9276,0,0,0,2,0,0,0,0,0,663,146,6288,2556,0,0,4,0,0,0,0,0,0,0,24,77,242,36583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13933,0,0,1077,1456,666,17573,16140,33713,5706,33615,6432,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,238,183,0,0,44.26000297,55.73999703,17.5,95,40.8,161.6,19.1,86.7,22.1,39.5,0.459,19.9,3.7,11.4,10.7,29.3,13516,2.46,1735,12.8,1055,7.805563776,10240,75.8,8985,66.5,33356,98.6,0.4568,32.2,-0.07923942,0.015136286,11273.17098,0.160681901,0.128283541,3.256901,3688,8409,482
AL,Cherokee,1019,South,46.9,29.4,45,1,0,12,832,6577,4786,4437,7493,0,0,0,1,0,0,0,0,0,613,59,4104,1414,1,1,1,1,0,0,0,0,0,0,11,56,242,23988,1,0,1,0,0,0,0,0,0,0,0,0,6951,0,0,0,10626,22277,0,999,1409,559,13011,12846,25857,4651,26032,5848,832,45,832,45,13,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,230,177,0,0,7.248770744,92.75122926,12.2,110.7,36.9,194.5,20.5,87.5,18.9,41.5,0.453,16.8,3.7,11.4,11.9,25.1,10606,2.41,1276,12,702,6.618894965,8495,80.1,7271,68.6,25648,99.2,0.4539,21,0.108806336,0.010598383,11294.41054,0.154698582,0.103925417,1.5748031,2614,5924,367
