fips,name_x,median_household_income,unemployment_rate_x,no_health_insurance_p,income_below_poverty_p,vacant_housing_units_p,median_home_value,over25_bachelors_or_higher_p,pop_foreign_born_p,households_with_internet_subscription_p,median_age,total_population,population_density,black_african_american_p,pop_per_sq_mile,housing_per_sq_mile,n_hospital_beds_2017,n_hospitals_2017,total_hosp_ftes_2017,n_active_mds_2017,n_hospital_admissions_2017,prev_hosp_stays_rate_2017,n_patient_days_short_term_2017,n_medicare_bene_2017,n_medicare_eligible_2018,n_airborn_infec_iso_rooms_2017,n_critical_access_hosp_2017,n_critical_access_st_gen_hosp_2017,n_fqhcs_2018,n_hosp_airborn_infec_iso_rooms_2017,n_hosp_with_ct_2017,n_hosp_with_ed_2017,n_hosp_with_telehealth_eicu_2017,n_hosp_with_urgent_care_2017,n_65yo_below_poverty_level_2017,n_65yo_below_deep_poverty_2017,n_people_below_poverty_level_2017,n_person_below_deep_poverty_level_2017,n_short_term_comm_hosp_2017,n_short_term_gen_hosp_2017,n_skilled_nursing_2017,n_st_gen_hosp_lt50_beds_2017,n_st_gen_hosp_lt100_beds_2017,n_st_gen_hosp_lt200_bed_2017,n_st_gen_hosp_lt300_bed_2017,n_st_gen_hosp_gt300_bed_2017,n_hosp_telemed_chronic_care_2017,n_hosp_telemed_postdischarge_2017,p_65yo_below_poverty_level_2017,p_people_below_deep_poverty_2017,avg_hh_size_2010,census_pop_2000,dist_st_hosp_00_04_services_2017,dist_other_hosp_00_04_services_2017,dist_st_hosp_00_39p_util_rate_2017,dist_st_hosp_05_14_services_2017,dist_other_hosp_05_14_services_2017,dist_st_hosp_15_24_services_2017,dist_other_hosp_15_24_services_2017,dist_st_hosp_25_services_2017,dist_other_hosp_25_services_2017,dist_st_hosp_40_59p_util_rate_2017,dist_st_hosp_60_79p_util_rate_2017,dist_st_hosp_80p_util_rate_2017,n_ed_visits_st_hosp_2017,n_ed_visits_other_hosp_2017,n_licensed_beds_st_hosp_2017,n_licensed_beds_all_hosp_2017,n_households_2010,n_outpatient_visits_st_gen_hosp_2017,n_outpatient_visits_va_hosp_2017,n_male_60_64_2010,n_male_65_74_2010,n_male_75_84_2010,n_total_female_2017,n_total_male_2017,n_pop_2017,n_pop_65yo_2010,n_pop_2018,n_pop_65yo_2017,n_st_comm_hosp_admissions_2017,n_st_comm_hosp_beds_2017,n_st_gen_hosp_admissions_2017,n_st_gen_hosp_beds_2017,n_active_mds_total_2017,n_inpatient_beds_2017,n_medsurg_icu_beds_2017,n_cardiac_icu_beds_2017,n_other_icu_beds_2017,n_neonatal_icu_beds_2017,n_peds_icu_beds_2017,n_burn_icu_beds_2017,n_hosp_with_medsurg_icu_2017,n_hosp_with_cardiac_icu_2017,n_hosp_with_other_icu_2017,n_hosp_with_neonatal_icu_2017,n_hosp_with_peds_icu_2017,n_hosp_with_burn_icu_2017,n_hosp_nursing_home_beds_2017,n_fac_nursing_home_beds_2018,p_18_64_no_insurance_allincome,p_18_64_no_insurance_200poverty,p_18_64_no_insurance_400poverty,n_medsurg_card_other_icu_beds_2017,n_nursing_home_beds_2017,p_nonwhite,p_white,prop_diabetes,CHD_hosp,ob_prev_adj,hypertension_hosp,prop_edu_less_high_school,prop_edu_less_college,prop_food_stamp_SNAP_recip,median_HHI,income_inequal,prop_poverty,unemployment_rate_y,annual_PM2.5,prop_uninsured,prop_medicaid_eligible,n_households,avg_hh_size,n_65_living_alone,p_65_living_alone,n_hh_grandparents_with_under18,p_hh_grandparents_with_under18,n_hh_with_computer,p_hh_with_computer,n_hh_with_broadband,p_hh_with_broadband,n_usa_native,p_usa_native,gini_coef,p_hh_renter,ice_wb_income,p_group_quarters,premature_mort,severe_housing_problems,severe_housing_cost_burden,p_crowded_housing,high_housing_cost,empower_medicare_bene,empower_power_depend
28151,"Washington County, Mississippi",30834,15.1,18.2,33.3,15.2,74700,18.8,1.4,62.3,36.9,47086,0.25,72.0,70.6,30.0,39,1,101,59,357,6877.0,0,7614.0,10944.0,0,0,0,4.0,0,0,0,0,0,1114,173,15987,7805,0,0,5.0,0,0,0,0,0,0,0,26,164,267,62977.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39,18936,0,0,1300,1534,761,24718,21503,46221.0,6295,45063,6964,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,212.0,280.0,241.0,0,0.0,74.89736591,25.10263409,13.8,90.8,43.2,205.4,21.2,81.0,41.1,30.2,0.5379999999999999,34.2,7.3,10.1,14.2,44.7,18299.0,2.54,2228.0,12.2,1951.0,10.661784800000001,13858.0,75.7,11395.0,62.3,46444.0,98.6,0.5328,46.0,-0.302694136,0.011489615,13645.531969999998,0.19840615600000003,0.19592236600000001,2.7398759999999998,6238.0,9841.0,688.0
28111,"Perry County, Mississippi",39007,6.8,15.1,18.7,18.8,83700,11.0,0.3,64.5,40.9,12028,0.07,19.7,18.9,8.5,22,1,0,3,125,6824.0,1084,2272.0,3109.0,1,1,1,6.0,1,1,1,0,0,424,70,2377,1030,1,1,1.0,1,0,0,0,0,0,0,35,86,260,12138.0,0,0,1,0,0,1,0,0,0,0,0,0,1966,0,22,22,4674,10627,0,360,480,193,6156,5876,12032.0,1732,11931,2133,125,22,125,22,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,209.0,316.0,250.0,0,0.0,21.94283799,78.05716201,13.2,107.2,35.7,174.3,19.3,89.4,18.4,38.1,0.47100000000000003,21.4,6.4,9.6,17.1,27.3,4563.0,2.61,624.0,13.7,425.0,9.314047776,3552.0,77.8,2943.0,64.5,11990.0,99.7,0.4818,16.6,-0.003287311,0.010475557,11161.92116,0.11047836,0.07796529599999999,4.0661306,1045.0,2426.0,199.0
28019,"Choctaw County, Mississippi",37203,8.9,8.5,23.3,24.7,81600,17.7,0.3,57.4,44.0,8321,0.08,31.2,20.4,9.9,75,1,0,3,354,5499.0,22952,1567.0,1899.0,0,1,1,0.0,1,1,1,0,0,258,103,1998,1007,1,1,1.0,0,1,0,0,0,0,0,62,123,245,9758.0,0,0,0,0,0,1,0,0,0,0,0,1,3647,0,85,85,3446,37743,0,282,381,184,4236,4042,8278.0,1486,8278,1774,354,75,354,75,3,75,0,0,0,0,0,0,0,0,0,0,0,0,60,0.0,169.0,268.0,207.0,0,60.0,32.61657405,67.38342595,22.8,53.0,37.1,130.3,18.6,82.7,22.0,36.2,0.452,23.1,4.8,9.8,13.7,28.2,3164.0,2.58,603.0,19.1,217.0,6.85840708,2345.0,74.1,1816.0,57.4,8292.0,99.7,0.4432,23.6,-0.064791403,0.018988102,10579.62021,0.167927383,0.10104412300000001,2.3139462,712.0,1597.0,118.0
28057,"Itawamba County, Mississippi",40510,4.2,11.4,15.4,15.4,89500,13.4,0.9,70.0,40.0,23480,0.17,7.1,43.9,19.0,0,0,0,6,0,4651.0,0,5011.0,5865.0,0,0,0,4.0,0,0,0,0,0,546,99,4107,961,0,0,2.0,0,0,0,0,0,0,0,26,43,253,22770.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8881,0,0,625,994,460,11924,11584,23508.0,3701,23517,4101,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,189.0,306.0,236.0,0,0.0,9.554790152,90.44520985,13.2,79.3,35.7,168.6,22.3,87.0,13.5,40.6,0.462,18.1,4.8,10.2,15.5,20.4,8706.0,2.57,951.0,10.9,923.0,10.60188376,7103.0,81.6,6093.0,70.0,23272.0,99.1,0.4299,22.2,0.098093269,0.04693356,9653.993569,0.119411432,0.08688915400000001,2.2239873,1880.0,5399.0,413.0
28015,"Carroll County, Mississippi",43060,9.8,8.4,14.8,29.0,89300,14.5,0.3,62.2,47.0,10129,0.06,34.6,16.9,8.0,0,0,0,5,0,6284.0,0,2419.0,2952.0,0,0,0,0.0,0,0,0,0,0,306,57,1404,776,0,0,1.0,0,0,0,0,0,0,0,27,77,245,10769.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4188,0,0,377,538,219,5011,5128,10139.0,1817,9911,2298,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,195.0,324.0,246.0,0,0.0,35.15286046,64.84713954,19.3,88.3,37.5,171.5,17.9,83.6,15.4,39.6,0.46799999999999997,17.4,6.5,9.6,15.8,23.1,3658.0,2.72,433.0,11.8,167.0,4.565336249,2813.0,76.9,2276.0,62.2,10102.0,99.7,0.4489,19.2,0.016949153,0.016388587,9040.173345000001,0.128552097,0.134314339,3.4242760999999997,740.0,2243.0,150.0
28043,"Grenada County, Mississippi",36877,6.9,12.1,24.5,19.7,99700,19.7,0.3,63.4,39.8,21278,0.19,43.3,51.9,24.1,58,1,0,31,2384,4667.0,10354,4455.0,5666.0,6,0,0,2.0,1,1,1,0,0,459,77,5070,2017,1,1,2.0,0,1,0,0,0,0,0,22,96,247,23263.0,0,0,0,0,0,0,0,1,0,1,0,0,17164,0,142,142,8779,59347,0,636,820,392,11056,10031,21087.0,3277,21055,3713,2384,58,2384,58,32,58,9,0,0,0,0,0,1,1,0,0,0,0,0,0.0,187.0,287.0,226.0,9,0.0,45.1484208,54.8515792,14.0,80.0,38.0,167.6,21.2,81.9,21.1,37.4,0.47,22.5,5.0,9.5,15.0,34.6,8224.0,2.54,1139.0,13.8,771.0,9.375,6524.0,79.3,5215.0,63.4,21208.0,99.7,0.4787,33.4,-0.10821984400000001,0.016401917,11882.08971,0.18371467,0.151692266,2.4717963,2154.0,4967.0,385.0
28063,"Jefferson County, Mississippi",20188,7.5,16.9,49.7,32.4,62300,15.0,0.6,61.0,39.3,7346,0.05,85.9,14.9,7.1,30,1,0,6,230,8618.0,1584,1307.0,1724.0,0,0,0,3.0,1,1,1,0,0,364,16,3301,813,1,1,1.0,1,0,0,0,0,0,0,16,116,250,9740.0,0,0,1,1,0,0,0,0,0,0,0,0,2156,0,30,30,2929,21608,0,190,237,112,3690,3572,7262.0,998,7106,1176,230,30,230,30,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,189.0,254.0,211.0,0,0.0,86.51843513,13.48156487,14.3,64.6,49.7,182.1,25.8,87.3,32.1,26.7,0.522,33.7,12.6,8.9,17.1,41.7,2530.0,2.72,282.0,11.1,305.0,12.05533597,1700.0,67.2,1543.0,61.0,7299.0,99.4,0.4982,33.2,-0.52173913,0.064252655,14672.869380000002,0.135559921,0.089581305,3.4243784,623.0,1561.0,80.0
28041,"Greene County, Mississippi",49447,9.2,13.0,14.5,20.0,80900,8.6,1.4,67.9,39.1,13714,0.07,25.5,20.2,7.2,7,1,0,0,137,9352.0,1457,2030.0,2449.0,0,1,1,10.0,0,1,1,0,0,127,12,1572,839,1,1,2.0,1,0,0,0,0,0,0,8,80,264,13299.0,0,0,0,1,0,0,0,0,0,1,0,0,532,0,7,7,4306,3460,0,395,494,195,5695,7650,13345.0,1617,13586,1988,137,7,137,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,191.0,330.0,242.0,0,0.0,27.54305903,72.45694097,10.7,119.9,36.7,190.1,24.1,91.3,17.1,39.6,0.429,24.1,7.3,9.4,15.1,20.4,4172.0,2.45,577.0,13.8,196.0,4.697986577,3310.0,79.3,2834.0,67.9,13525.0,98.6,0.4116,15.2,0.093480345,0.25565115899999996,10381.54989,0.138755981,0.085721344,3.737422,907.0,1834.0,133.0
28093,"Marshall County, Mississippi",41572,6.6,15.4,18.3,15.5,108000,13.7,1.5,55.6,40.2,35787,0.2,47.8,52.6,21.1,40,1,0,6,377,5761.0,2722,5560.0,8139.0,0,0,0,2.0,0,1,1,0,0,699,228,6032,2993,1,1,2.0,1,0,0,0,0,0,0,42,88,265,34993.0,0,0,1,0,0,1,0,0,0,0,0,0,3150,0,40,40,13369,7490,0,1042,1322,588,17937,17682,35619.0,4727,35451,6022,377,40,377,40,6,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,179.0,278.0,215.0,0,0.0,52.11982737,47.88017263,15.1,82.8,38.2,173.1,20.6,86.9,19.5,37.6,0.429,23.0,5.6,10.0,13.9,29.3,13074.0,2.58,1346.0,10.3,876.0,6.700321248,10429.0,79.8,7267.0,55.6,35257.0,98.5,0.4503,24.0,-0.06256692700000001,0.057339257000000005,11585.30364,0.170545593,0.133317184,1.689086,3792.0,8047.0,493.0
28119,"Quitman County, Mississippi",25510,25.8,18.7,35.5,15.0,52300,11.4,0.5,52.7,38.4,7372,0.07,71.6,20.3,8.9,0,0,0,1,0,7682.0,0,1417.0,1807.0,0,0,0,1.0,0,0,0,0,0,195,48,2762,1120,0,0,1.0,0,0,0,0,0,0,0,42,152,264,10117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3058,0,0,230,302,123,3866,3403,7269.0,1156,7051,1217,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,209.0,264.0,229.0,0,0.0,73.81931641,26.18068359,13.2,81.9,41.6,152.8,30.8,88.2,36.1,26.2,0.474,34.3,8.7,10.0,16.5,43.6,3055.0,2.36,363.0,11.9,296.0,9.68903437,2140.0,70.0,1610.0,52.7,7335.0,99.5,0.469,42.0,-0.34697217700000005,0.023195876,15875.65593,0.18166939399999998,0.165693431,4.720051799999999,988.0,1399.0,117.0
