,fips_x,median_household_income,unemployment_rate_x,no_health_insurance_p,income_below_poverty_p,vacant_housing_units_p,median_home_value,over25_bachelors_or_higher_p,pop_foreign_born_p,households_with_internet_subscription_p,median_age,total_population,population_density,black_african_american_p,pop_per_sq_mile,housing_per_sq_mile,n_hospital_beds_2017,n_hospitals_2017,total_hosp_ftes_2017,n_active_mds_2017,n_hospital_admissions_2017,prev_hosp_stays_rate_2017,n_patient_days_short_term_2017,n_medicare_bene_2017,n_medicare_eligible_2018,n_airborn_infec_iso_rooms_2017,n_critical_access_hosp_2017,n_critical_access_st_gen_hosp_2017,n_fqhcs_2018,n_hosp_airborn_infec_iso_rooms_2017,n_hosp_with_ct_2017,n_hosp_with_ed_2017,n_hosp_with_telehealth_eicu_2017,n_hosp_with_urgent_care_2017,n_65yo_below_poverty_level_2017,n_65yo_below_deep_poverty_2017,n_people_below_poverty_level_2017,n_person_below_deep_poverty_level_2017,n_short_term_comm_hosp_2017,n_short_term_gen_hosp_2017,n_skilled_nursing_2017,n_st_gen_hosp_lt50_beds_2017,n_st_gen_hosp_lt100_beds_2017,n_st_gen_hosp_lt200_bed_2017,n_st_gen_hosp_lt300_bed_2017,n_st_gen_hosp_gt300_bed_2017,n_hosp_telemed_chronic_care_2017,n_hosp_telemed_postdischarge_2017,p_65yo_below_poverty_level_2017,p_people_below_deep_poverty_2017,avg_hh_size_2010,census_pop_2000,dist_st_hosp_00_04_services_2017,dist_other_hosp_00_04_services_2017,dist_st_hosp_00_39p_util_rate_2017,dist_st_hosp_05_14_services_2017,dist_other_hosp_05_14_services_2017,dist_st_hosp_15_24_services_2017,dist_other_hosp_15_24_services_2017,dist_st_hosp_25_services_2017,dist_other_hosp_25_services_2017,dist_st_hosp_40_59p_util_rate_2017,dist_st_hosp_60_79p_util_rate_2017,dist_st_hosp_80p_util_rate_2017,n_ed_visits_st_hosp_2017,n_ed_visits_other_hosp_2017,n_licensed_beds_st_hosp_2017,n_licensed_beds_all_hosp_2017,n_households_2010,n_outpatient_visits_st_gen_hosp_2017,n_outpatient_visits_va_hosp_2017,n_male_60_64_2010,n_male_65_74_2010,n_male_75_84_2010,n_total_female_2017,n_total_male_2017,n_pop_2017,n_pop_65yo_2010,n_pop_2018,n_pop_65yo_2017,n_st_comm_hosp_admissions_2017,n_st_comm_hosp_beds_2017,n_st_gen_hosp_admissions_2017,n_st_gen_hosp_beds_2017,n_active_mds_total_2017,n_inpatient_beds_2017,n_medsurg_icu_beds_2017,n_cardiac_icu_beds_2017,n_other_icu_beds_2017,n_neonatal_icu_beds_2017,n_peds_icu_beds_2017,n_burn_icu_beds_2017,n_hosp_with_medsurg_icu_2017,n_hosp_with_cardiac_icu_2017,n_hosp_with_other_icu_2017,n_hosp_with_neonatal_icu_2017,n_hosp_with_peds_icu_2017,n_hosp_with_burn_icu_2017,n_hosp_nursing_home_beds_2017,n_fac_nursing_home_beds_2018,p_18_64_no_insurance_allincome,p_18_64_no_insurance_200poverty,p_18_64_no_insurance_400poverty,n_medsurg_card_other_icu_beds_2017,n_nursing_home_beds_2017,p_nonwhite,p_white,prop_diabetes,CHD_hosp,ob_prev_adj,hypertension_hosp,prop_edu_less_high_school,prop_edu_less_college,prop_food_stamp_SNAP_recip,median_HHI,income_inequal,prop_poverty,unemployment_rate_y,annual_PM2.5,prop_uninsured,prop_medicaid_eligible,n_households,avg_hh_size,n_65_living_alone,p_65_living_alone,n_hh_grandparents_with_under18,p_hh_grandparents_with_under18,n_hh_with_computer,p_hh_with_computer,n_hh_with_broadband,p_hh_with_broadband,n_usa_native,p_usa_native,gini_coef,p_hh_renter,ice_wb_income,p_group_quarters,premature_mort,severe_housing_problems,severe_housing_cost_burden,p_crowded_housing,high_housing_cost,empower_medicare_bene,empower_power_depend,county_name,case1,case2,case3,fips_y,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,total_1,total_2,total_3
0,28047,45566,9.6,15.8,20.1,14.3,144500,22.3,4.8,76.8,36.0,202626,1.36,24.3,326.0,148.4,1282,7,216,413,39905,6312.0,226509,27214.0,40890.0,33,0,0,11.0,2,2,2,0,0,2812,843,39854,20847,4,5,7.0,0,1,2,0,2,0,0,31,107,254,189601.0,3,1,1,0,1,0,0,2,0,4,0,0,287695,0,542,636,71476,2021100,812490,4692,5922,2994,104321,100706,205027.0,21952,206650,29702,28206,773,39240,1188,456,1188,28,11,0,18,0,0,2,1,0,1,0,0,0,0.0,200.0,329.0,254.0,39,0.0,35.1962255,64.8037745,10.4,99.1,34.0,177.4,13.0,77.8,20.4,43.0,0.443,20.5,5.1,9.8,15.4,21.5,78863.0,2.51,8377.0,10.6,4646.0,5.891229093,66891.0,84.8,60554.0,76.8,192846.0,95.2,0.4581,44.0,0.021125243,0.024384827,9924.217626,0.192672641,0.16741979199999998,3.2899652,27113.0,38326.0,2342.0,"Harrison County, Mississippi",5.181960853987149e-06,2.1221363497280706e-05,1.7026442805957774e-05,28047.0,10.833333333333334,-3.8333333333333335,2.6666666666666665,2.6666666666666665,7.5,-4.5,6.166666666666667,18.0,24.5,7.5,14.833333333333334,13.333333333333334,10.333333333333334,11.5,13.166666666666666,18.5,8.166666666666666,10.5,4.0,8.833333333333334,11.0,16.833333333333332,18.333333333333332,11.166666666666666,9.166666666666666,16.833333333333332,15.333333333333334,16.833333333333332,18.833333333333332,19.833333333333332,16.0,8.833333333333334,7.666666666666667,2.5,-2.8333333333333335,-11.666666666666666,-11.833333333333334,-8.333333333333334,-8.166666666666666,-4.833333333333333,-10.0,-10.5,-16.333333333333332,-12.666666666666666,-10.5,-13.166666666666666,-7.833333333333333,-10.833333333333334,-15.333333333333334,-27.333333333333332,-24.166666666666668,-19.666666666666668,-21.666666666666668,-17.166666666666668,-17.833333333333332,-18.833333333333332,-21.5,-37.833333333333336,-17.0,-14.666666666666666,-10.833333333333334,-13.0,-17.5,-20.166666666666668,-23.0,-11.833333333333334,-7.833333333333333,-8.5,-19.666666666666668,-6.5,-8.166666666666666,-4.0,-5.5,-6.333333333333333,-15.166666666666666,-2.0,0.6666666666666666,-0.8333333333333334,167.33333333333334,-326.1666666666667,-211.83333333333334
1,29189,65300,5.2,6.7,9.7,8.3,190100,43.2,7.3,84.7,40.3,998684,7.6,24.0,1967.2,862.6,4192,15,1610,5059,179356,4471.0,868657,103626.0,210733.0,217,0,0,8.0,10,10,10,3,6,9897,3552,95974,41832,13,10,69.0,0,2,1,1,6,1,0,22,43,242,1016315.0,0,0,1,0,2,0,2,10,1,3,5,1,548850,0,4714,5050,404765,4520830,0,26621,33019,20709,523675,473051,996726.0,149493,996945,176498,178983,4106,174166,3856,5165,3856,234,52,76,165,12,9,10,8,2,3,1,1,192,60.0,98.0,250.0,169.0,362,252.0,33.45109309,66.54890691,9.7,74.3,28.9,152.6,6.8,57.2,10.9,62.8,0.488,9.2,3.9,12.1,8.1,14.6,403547.0,2.43,50264.0,12.5,16220.0,4.01935834,365989.0,90.7,341633.0,84.7,926072.0,92.7,0.4904,31.0,0.204761775,0.018811756,7511.027891,0.141362234,0.123207232,1.0285678,112627.0,191287.0,6434.0,"St. Louis County, Missouri",3.4545461827765337e-06,7.675100432168735e-05,8.150726355884343e-05,29189.0,5.0,12.333333333333334,-4.166666666666667,3.0,4.833333333333333,2.5,8.166666666666666,23.833333333333332,19.166666666666668,-2.1666666666666665,0.3333333333333333,0.16666666666666666,7.166666666666667,10.166666666666666,21.5,27.5,6.833333333333333,19.666666666666668,13.5,16.166666666666668,13.666666666666666,31.833333333333332,29.333333333333332,-0.6666666666666666,10.333333333333334,16.166666666666668,4.0,10.0,-3.8333333333333335,-5.5,-3.0,2.1666666666666665,-9.833333333333334,-15.333333333333334,-10.166666666666666,-1.8333333333333333,-29.0,-21.5,-30.5,-5.0,-7.333333333333333,-9.666666666666666,-19.5,-10.833333333333334,-12.5,-13.166666666666666,-11.666666666666666,-12.0,-11.833333333333334,-32.0,-33.666666666666664,-27.166666666666668,-23.333333333333332,-24.0,-25.5,-20.666666666666668,-23.0,-46.5,-30.666666666666668,-26.166666666666668,-23.0,-21.5,-29.0,-17.5,-26.5,-21.0,-17.333333333333332,-20.666666666666668,-28.0,-17.5,-34.666666666666664,-19.166666666666668,-20.5,-15.666666666666666,-28.0,-9.5,-5.833333333333333,-2.5,46.5,-399.8333333333333,-414.6666666666667
2,29019,54043,4.3,7.0,18.3,8.2,179800,46.0,6.6,82.7,30.8,176515,0.99,8.8,237.3,101.5,1134,5,206,1428,46743,3261.0,236679,15950.0,27805.0,85,0,0,2.0,3,3,3,1,2,1269,362,30979,17068,3,3,10.0,0,0,1,0,2,1,1,20,103,240,135454.0,0,0,0,0,2,0,0,3,0,1,2,0,120313,0,523,625,64077,1677386,523939,3538,3719,1969,91828,86443,178271.0,15072,180005,21123,42041,966,45331,1032,1464,1032,86,24,24,68,18,0,3,3,1,2,1,1,35,0.0,117.0,221.0,168.0,134,35.0,20.29721397,79.70278603,7.8,60.2,26.7,127.9,6.5,54.1,9.9,52.8,0.476,16.6,2.9,10.1,9.2,14.5,69957.0,2.39,5726.0,8.2,2440.0,3.487856826,65373.0,93.4,57848.0,82.7,164840.0,93.4,0.4673,44.7,0.17961033199999998,0.051604679,5623.013157,0.179680502,0.16073100699999998,1.4252954,20938.0,25330.0,1241.0,"Boone County, Missouri",4.815454777214401e-06,1.6995722743109652e-05,5.665240914369884e-06,29019.0,3.0,11.833333333333334,-0.6666666666666666,1.5,6.166666666666667,0.8333333333333334,12.833333333333334,15.0,21.0,-2.1666666666666665,-2.3333333333333335,3.8333333333333335,5.0,13.166666666666666,22.333333333333332,35.666666666666664,8.0,15.666666666666666,13.833333333333334,11.5,17.666666666666668,30.333333333333332,44.166666666666664,-1.3333333333333333,8.666666666666666,22.333333333333332,4.166666666666667,12.166666666666666,-4.0,1.1666666666666667,-2.8333333333333335,-0.6666666666666666,-9.5,-9.166666666666666,-11.333333333333334,-11.333333333333334,-30.166666666666668,-18.5,-24.166666666666668,-18.333333333333332,-12.0,-22.333333333333332,-29.0,-15.333333333333334,-13.833333333333334,-10.666666666666666,-5.333333333333333,-13.166666666666666,-17.833333333333332,-24.833333333333332,-17.333333333333332,-17.166666666666668,-7.666666666666667,-9.0,-18.666666666666668,-9.0,-23.166666666666668,-30.166666666666668,-26.166666666666668,-22.5,-13.666666666666666,-23.333333333333332,-25.166666666666668,-11.5,-4.666666666666667,-15.0,-7.333333333333333,-15.5,-15.333333333333334,-16.166666666666668,-22.333333333333332,4.333333333333333,-11.666666666666666,-16.833333333333332,-20.333333333333332,-3.3333333333333335,2.0,-4.0,67.16666666666667,-339.0,-268.5
3,29095,52805,5.1,11.6,15.2,11.8,139000,30.9,5.8,78.7,36.7,692003,4.42,23.4,1115.3,516.3,3055,15,6696,2106,125188,5346.0,610743,62498.0,129081.0,129,0,0,16.0,8,9,9,1,1,8056,2263,108026,49617,10,10,39.0,0,2,2,4,2,0,0,24,73,241,654880.0,1,1,0,0,2,0,1,9,1,1,8,1,412067,67469,2724,3477,274804,2585930,566718,16328,19658,11353,360588,338307,698895.0,83990,700307,101792,117763,2489,110189,2332,2139,2332,163,59,18,92,0,6,9,4,1,6,0,1,256,242.0,153.0,295.0,218.0,240,498.0,36.49470875,63.50529125,10.2,86.6,32.5,184.9,10.1,69.8,16.0,50.8,0.467,15.5,4.6,10.4,11.5,22.5,282653.0,2.41,29609.0,10.5,12655.0,4.477221186,246886.0,87.3,222324.0,78.7,651534.0,94.2,0.4657,41.5,0.095675616,0.016728251,8757.898948,0.171211542,0.144321125,1.6029325,85792.0,114257.0,5964.0,"Jackson County, Missouri",7.225402202013575e-07,1.5245598646248645e-05,8.236958510295476e-06,29095.0,1.3333333333333333,8.166666666666666,5.833333333333333,1.6666666666666667,1.5,-3.5,10.833333333333334,9.666666666666666,12.5,-1.8333333333333333,1.3333333333333333,5.5,0.5,18.0,18.5,19.166666666666668,11.0,13.833333333333334,12.666666666666666,6.0,20.833333333333332,19.833333333333332,21.0,-1.8333333333333333,10.833333333333334,17.833333333333332,6.166666666666667,12.5,-8.166666666666666,-9.0,-3.8333333333333335,-6.666666666666667,-6.833333333333333,-6.5,-4.333333333333333,-11.166666666666666,-21.0,-9.666666666666666,-29.5,-13.0,-15.333333333333334,-13.5,-12.666666666666666,-11.333333333333334,-10.333333333333334,-11.333333333333334,-8.166666666666666,-20.833333333333332,-25.0,-24.333333333333332,-18.333333333333332,-18.5,-10.0,-9.833333333333334,-20.833333333333332,-11.5,-15.0,-38.666666666666664,-23.0,-21.666666666666668,-13.5,-27.0,-20.333333333333332,-15.666666666666666,-14.333333333333334,-13.0,-9.0,-22.5,-14.166666666666666,-21.0,-11.333333333333334,-7.166666666666667,-8.0,-14.0,-12.0,-8.5,1.5,-3.5,38.666666666666664,-338.0,-278.1666666666667
4,32031,61155,5.6,10.2,12.2,8.4,299400,30.5,14.0,83.4,38.1,450486,0.28,2.1,66.9,29.3,1714,11,1461,1351,59717,3166.0,309245,49219.0,91418.0,61,1,1,11.0,2,4,4,0,0,5147,1835,58642,27326,6,6,8.0,1,1,2,1,1,0,1,28,62,255,339486.0,2,2,1,0,3,0,0,4,0,2,2,1,214463,0,1388,1560,163445,1242247,447599,12739,15198,6654,228866,231721,460587.0,50879,465735,73095,53789,1194,56576,1256,1400,1256,157,66,0,68,15,0,4,2,0,2,1,0,60,0.0,140.0,242.0,197.0,223,60.0,35.82938796,64.17061204,6.7,50.9,22.8,119.3,12.4,70.2,12.8,58.3,0.463,12.5,3.9,8.4,11.7,13.3,177632.0,2.5,19442.0,10.9,8900.0,5.010358494,162874.0,91.7,148196.0,83.4,387268.0,86.0,0.4581,42.0,0.229789678,0.01330341,7089.039609,0.214974902,0.147848798,4.4208417,58193.0,79993.0,5854.0,"Washoe County, Nevada",2.7747810142823526e-06,4.117775025195011e-05,5.4163725398791534e-05,32031.0,4.333333333333333,8.0,6.0,4.333333333333333,3.5,3.6666666666666665,6.0,8.5,10.166666666666666,7.166666666666667,7.666666666666667,9.166666666666666,10.833333333333334,6.0,5.166666666666667,-3.1666666666666665,6.166666666666667,9.166666666666666,10.0,10.333333333333334,5.5,0.0,5.833333333333333,7.333333333333333,10.0,9.333333333333334,11.0,8.5,-7.5,-8.833333333333334,-0.8333333333333334,-8.5,-14.666666666666666,-15.166666666666666,-15.333333333333334,-20.666666666666668,-17.0,-19.0,-21.0,-22.0,-22.833333333333332,-18.833333333333332,-26.333333333333332,-25.5,-18.833333333333332,-16.333333333333332,-17.5,-17.166666666666668,-18.0,-30.166666666666668,-34.166666666666664,-25.333333333333332,-19.833333333333332,-17.333333333333332,-20.833333333333332,-15.5,-19.833333333333332,-27.0,-16.333333333333332,-11.666666666666666,-11.166666666666666,-13.0,-18.666666666666668,-20.333333333333332,-21.833333333333332,-15.166666666666666,-9.5,-11.333333333333334,-10.333333333333334,-11.666666666666666,-17.333333333333332,-10.5,-8.833333333333334,-5.0,-9.166666666666666,-8.5,-8.666666666666666,-15.333333333333334,-49.666666666666664,-434.3333333333333,-254.33333333333334
5,32003,56802,7.2,12.5,14.1,13.6,238300,23.9,22.2,81.0,37.1,2141574,1.05,11.0,247.3,106.5,5715,35,4710,3898,244755,4518.0,1068134,163302.0,369375.0,100,2,2,17.0,7,8,8,0,2,24856,8480,304449,141659,21,19,37.0,2,2,9,1,5,1,1,30,68,270,1375765.0,11,12,2,0,3,0,1,8,0,4,9,4,719201,6827,1614,2014,715365,2732429,892172,49990,65166,30602,1104514,1099565,2204079.0,220445,2231647,317010,209362,4271,206801,4070,4051,4070,130,58,14,59,20,16,7,3,1,3,2,1,47,260.0,156.0,263.0,208.0,202,307.0,56.14418409,43.85581591,10.0,68.3,26.6,150.4,14.7,76.7,16.2,54.5,0.454,14.6,4.8,9.4,13.5,15.0,767954.0,2.76,69764.0,9.1,57072.0,7.431695127999999,701851.0,91.4,622392.0,81.0,1666257.0,77.8,0.4614,46.9,0.13817754699999998,0.010656648,7145.161007,0.211941555,0.166676283,4.2761431,271929.0,322704.0,17632.0,"Clark County, Nevada",2.941761526802249e-06,4.930952654449484e-05,4.1581565708212744e-05,32003.0,2.1666666666666665,5.833333333333333,1.0,2.0,3.5,2.5,2.3333333333333335,-4.833333333333333,4.833333333333333,3.1666666666666665,1.5,4.833333333333333,4.0,3.3333333333333335,3.1666666666666665,1.8333333333333333,1.5,4.0,4.5,3.8333333333333335,3.3333333333333335,1.5,4.0,2.0,-2.3333333333333335,3.0,-1.5,-0.6666666666666666,-1.5,-1.6666666666666667,-5.333333333333333,-9.833333333333334,-18.666666666666668,-27.0,-29.5,-32.666666666666664,-34.5,-32.666666666666664,-31.166666666666668,-32.5,-33.5,-34.5,-36.333333333333336,-38.0,-31.5,-29.5,-28.333333333333332,-32.833333333333336,-32.5,-36.5,-38.666666666666664,-35.5,-34.5,-34.666666666666664,-35.666666666666664,-36.333333333333336,-34.833333333333336,-44.833333333333336,-35.0,-32.833333333333336,-30.166666666666668,-32.666666666666664,-34.5,-36.833333333333336,-36.333333333333336,-34.333333333333336,-31.5,-30.5,-32.833333333333336,-33.5,-35.0,-36.0,-31.666666666666668,-31.333333333333332,-30.0,-31.0,-31.166666666666668,-32.166666666666664,-175.66666666666666,-692.1666666666666,-659.3333333333334
6,33013,72478,3.9,6.1,7.2,10.6,232100,35.6,5.3,85.3,42.8,149452,0.62,1.3,156.8,68.0,516,5,767,445,18370,4107.0,69850,26107.0,35420.0,48,2,2,1.0,3,3,3,0,1,1138,501,10899,5321,4,3,7.0,2,0,0,1,0,1,1,22,38,246,136225.0,0,1,1,0,0,0,0,3,1,0,2,0,86355,0,365,533,57069,893683,0,4441,4994,2633,75614,73602,149216.0,20008,151132,26517,16596,348,15586,298,454,298,14,10,0,0,0,0,2,1,0,0,0,0,0,0.0,90.0,176.0,145.0,24,0.0,6.789429107999999,93.21057089,7.2,60.8,28.5,116.2,6.7,64.8,8.1,69.3,0.422,7.4,2.4,7.7,7.1,14.1,57843.0,2.47,6618.0,11.4,2597.0,4.489739467,52749.0,91.2,49348.0,85.3,141490.0,94.7,0.4285,28.4,0.322217036,0.045198458,6407.702968,0.149722247,0.131584586,1.2699355,18290.0,30027.0,1082.0,"Merrimack County, New Hampshire",1.338222305489388e-06,2.2415223616947247e-05,3.747022455370286e-05,33013.0,7.166666666666667,10.666666666666666,17.666666666666668,-3.5,6.166666666666667,8.5,4.0,9.166666666666666,9.0,5.333333333333333,-0.8333333333333334,-2.8333333333333335,-5.833333333333333,-2.1666666666666665,2.1666666666666665,6.5,1.6666666666666667,4.833333333333333,-1.6666666666666667,4.833333333333333,-1.6666666666666667,3.0,9.5,8.5,2.3333333333333335,0.16666666666666666,5.666666666666667,-4.0,1.1666666666666667,-3.1666666666666665,0.5,-11.833333333333334,-8.5,-19.333333333333332,-17.666666666666668,-17.0,-19.333333333333332,-24.666666666666668,-25.833333333333332,-24.166666666666668,-12.833333333333334,-20.0,-23.333333333333332,-41.333333333333336,-29.666666666666668,-20.666666666666668,-22.166666666666668,-27.666666666666668,-33.0,-22.333333333333332,-25.166666666666668,-15.5,-14.166666666666666,-24.0,-30.666666666666668,-28.833333333333332,-21.166666666666668,-32.666666666666664,-31.166666666666668,-15.833333333333334,-18.0,-17.666666666666668,-24.0,-31.0,-9.5,-15.333333333333334,-23.333333333333332,-23.333333333333332,-10.166666666666666,-25.333333333333332,-5.666666666666667,-28.666666666666668,-27.666666666666668,-14.833333333333334,-10.0,-22.833333333333332,-23.333333333333332,-8.166666666666666,-93.16666666666667,-495.1666666666667,-385.8333333333333
7,33015,90429,3.7,4.8,4.7,8.4,310200,40.7,4.8,90.0,44.3,305129,1.69,0.7,425.0,182.4,541,5,845,615,21216,3981.0,70554,47875.0,67857.0,8,0,0,6.0,1,1,1,0,1,2193,991,14402,6596,4,3,12.0,0,2,1,0,0,0,0,21,22,254,277359.0,2,1,0,0,0,0,1,1,0,2,1,0,129304,0,100,235,115033,493696,0,9215,10208,4987,154560,151803,306363.0,37424,309176,52881,19493,481,15786,346,636,346,10,0,0,0,0,0,1,0,0,0,0,0,0,0.0,67.0,174.0,131.0,10,0.0,6.798069708,93.20193029,7.3,67.9,26.7,133.5,5.0,59.4,3.8,82.0,0.421,4.2,2.9,7.9,5.6,8.4,120147.0,2.52,12288.0,10.2,5171.0,4.3038943960000005,113122.0,94.2,108190.0,90.0,290463.0,95.2,0.4199,22.9,0.43874587,0.008432499,5623.944725,0.14018375,0.120308192,1.1729399,37077.0,59159.0,1683.0,"Rockingham County, New Hampshire",4.58822334160306e-06,4.522677293865873e-05,7.914685264265279e-05,33015.0,5.5,5.5,15.333333333333334,-2.0,3.3333333333333335,7.666666666666667,2.6666666666666665,21.666666666666668,19.166666666666668,26.333333333333332,6.0,2.1666666666666665,4.0,-2.0,11.666666666666666,4.333333333333333,9.333333333333334,23.5,5.166666666666667,15.333333333333334,3.5,15.666666666666666,20.0,44.166666666666664,18.333333333333332,10.5,16.0,7.166666666666667,30.166666666666668,9.166666666666666,9.333333333333334,0.16666666666666666,17.5,-11.0,7.0,26.5,-5.166666666666667,-14.666666666666666,-10.166666666666666,-12.833333333333334,13.333333333333334,12.833333333333334,-8.666666666666666,-40.5,-25.5,-10.333333333333334,-17.166666666666668,-26.0,-29.5,-10.0,-25.5,-3.0,-7.333333333333333,-19.833333333333332,-29.333333333333332,-23.166666666666668,-10.333333333333334,-36.5,-33.333333333333336,-7.0,-16.166666666666668,-16.833333333333332,-17.666666666666668,-31.166666666666668,-11.5,-13.333333333333334,-19.666666666666668,-22.666666666666668,-2.3333333333333335,-23.833333333333332,5.333333333333333,-29.333333333333332,-29.5,-13.0,-4.5,-18.166666666666668,-18.833333333333332,8.666666666666666,224.83333333333334,-319.5,-314.8333333333333
8,34025,95699,5.2,6.3,7.4,10.4,408400,44.9,13.3,87.4,43.2,623387,5.14,6.7,1344.7,551.2,1676,6,254,2579,135285,4188.0,365832,87776.0,129444.0,86,0,0,6.0,5,5,5,1,3,6149,2483,47055,20253,6,5,32.0,0,0,1,2,2,2,1,25,33,266,615301.0,0,0,0,0,1,0,0,5,0,1,4,0,255373,0,2103,2163,233983,920768,0,17937,20545,11369,321681,304670,626351.0,86691,621354,106513,135285,1676,133895,1616,2611,1616,118,12,13,37,15,0,5,3,1,2,2,1,0,0.0,83.0,231.0,175.0,143,0.0,24.27054465,75.72945535,7.5,87.5,22.5,154.0,7.2,56.0,5.9,90.0,0.471,7.1,3.7,9.9,7.4,10.4,233874.0,2.64,27894.0,11.9,10255.0,4.3848397000000015,215333.0,92.1,204326.0,87.4,540320.0,86.7,0.4729,26.3,0.408899664,0.009971334,5281.434985,0.201690225,0.182937902,1.5502276,88668.0,115926.0,3472.0,"Monmouth County, New Jersey",1.908926557660009e-05,0.0002804838727788677,0.00018632085686740338,34025.0,2.8333333333333335,6.666666666666667,11.166666666666666,1.8333333333333333,3.8333333333333335,2.1666666666666665,-0.5,15.833333333333334,24.666666666666668,8.833333333333334,-2.1666666666666665,-0.6666666666666666,2.0,2.3333333333333335,3.6666666666666665,11.0,13.333333333333334,3.8333333333333335,9.666666666666666,9.833333333333334,-2.5,13.666666666666666,30.5,27.666666666666668,9.333333333333334,9.5,4.333333333333333,8.5,23.166666666666668,13.0,-5.0,-9.5,-1.6666666666666667,-15.5,6.166666666666667,3.0,-27.0,-40.5,-8.5,-32.666666666666664,-4.666666666666667,-7.0,-35.666666666666664,-37.0,-24.666666666666668,-26.666666666666668,-17.333333333333332,-17.0,-26.833333333333332,-4.5,-11.0,-3.0,-7.333333333333333,-21.333333333333332,-28.166666666666668,-30.5,-16.833333333333332,-35.166666666666664,-43.333333333333336,-22.666666666666668,-25.833333333333332,-28.0,-29.166666666666668,-34.166666666666664,-20.166666666666668,-28.333333333333332,-30.833333333333332,-25.666666666666668,-26.333333333333332,-37.333333333333336,-3.1666666666666665,-42.833333333333336,-30.166666666666668,-12.333333333333334,-27.333333333333332,-31.166666666666668,-25.666666666666668,18.5,66.66666666666667,-395.8333333333333,-506.0
9,34013,59302,9.2,12.3,16.4,10.6,372600,34.8,26.5,78.5,37.5,793555,24.3,38.6,6211.5,2479.6,3327,11,1645,3308,122277,5425.0,764469,65914.0,125205.0,188,0,0,22.0,8,8,8,0,1,12976,3581,130583,57887,8,8,34.0,0,0,2,1,5,1,1,36,74,268,793633.0,0,2,0,0,1,0,0,8,0,3,3,2,496857,0,3784,3847,283712,1301152,17904,17857,20859,11146,419444,388841,808285.0,90287,799767,107641,115086,2655,112711,2748,3367,2748,149,68,14,82,30,28,8,6,3,3,3,1,270,0.0,143.0,247.0,216.0,231,270.0,69.00747343,30.99252657,9.9,79.6,28.3,152.6,14.7,66.0,16.4,54.9,0.5489999999999999,16.3,5.1,9.9,12.2,25.8,282502.0,2.73,30642.0,10.8,18707.0,6.621900022,246794.0,87.4,221782.0,78.5,583563.0,73.5,0.5529,55.8,0.072441965,0.026853841,7239.891823999998,0.295736915,0.252716135,4.143018700000002,132471.0,103819.0,2725.0,"Essex County, New Jersey",1.7201076169893706e-05,0.00044533775226669855,0.00041673229958856035,34013.0,-1.8333333333333333,0.6666666666666666,2.0,0.5,1.8333333333333333,0.16666666666666666,-0.6666666666666666,10.0,18.5,9.333333333333334,-0.6666666666666666,-0.3333333333333333,1.5,0.5,1.3333333333333333,5.666666666666667,10.166666666666666,3.3333333333333335,7.833333333333333,9.166666666666666,-2.1666666666666665,8.5,20.166666666666668,22.333333333333332,7.5,8.166666666666666,3.0,5.666666666666667,9.5,6.333333333333333,-9.0,-13.833333333333334,-11.166666666666666,-19.5,-12.833333333333334,-13.166666666666666,-30.0,-41.5,-23.333333333333332,-35.333333333333336,-23.0,-24.333333333333332,-38.5,-40.166666666666664,-34.5,-34.833333333333336,-29.5,-32.5,-37.5,-32.0,-36.0,-28.833333333333332,-31.333333333333332,-35.333333333333336,-39.5,-41.166666666666664,-35.5,-43.333333333333336,-49.833333333333336,-35.166666666666664,-36.166666666666664,-37.666666666666664,-38.666666666666664,-41.666666666666664,-37.0,-39.0,-39.166666666666664,-37.0,-38.0,-42.333333333333336,-31.0,-46.666666666666664,-40.5,-25.666666666666668,-37.0,-39.666666666666664,-34.166666666666664,-15.5,-45.0,-676.5,-741.8333333333334
