,case1,case2,case3,fips,county_name,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,total_1,total_2,total_3
0,7.20783058714988e-07,1.60974883113014e-05,2.618845113331123e-05,1003.0,"Baldwin County, Alabama",16.0,1.6666666666666667,9.0,6.333333333333333,12.0,1.1666666666666667,17.5,15.666666666666666,25.0,3.3333333333333335,6.166666666666667,14.333333333333334,11.833333333333334,17.166666666666668,27.666666666666668,22.5,8.333333333333334,12.0,3.6666666666666665,8.333333333333334,15.666666666666666,21.666666666666668,25.666666666666668,13.333333333333334,16.333333333333332,20.333333333333332,21.0,29.0,30.0,31.666666666666668,16.833333333333332,16.0,14.5,5.5,-4.666666666666667,-13.166666666666666,-13.333333333333334,-16.833333333333332,-15.666666666666666,-13.833333333333334,-17.333333333333332,-15.166666666666666,-21.666666666666668,-23.333333333333332,-23.5,-24.0,-17.333333333333332,-21.833333333333332,-19.5,-25.166666666666668,-31.5,-28.166666666666668,-26.333333333333332,-22.833333333333332,-24.166666666666668,-25.333333333333332,-25.333333333333332,-44.666666666666664,-24.666666666666668,-23.166666666666668,-19.333333333333332,-21.833333333333332,-21.833333333333332,-24.833333333333332,-28.833333333333332,-23.833333333333332,-18.666666666666668,-17.5,-30.666666666666668,-17.5,-19.666666666666668,-17.0,-20.5,-18.5,-23.166666666666668,-11.666666666666666,-3.5,-0.3333333333333333,241.5,-466.6666666666667,-387.0
1,2.41162015053333e-07,5.402029137194659e-05,8.488902929877321e-05,1097.0,"Mobile County, Alabama",16.666666666666668,-3.5,8.833333333333334,5.666666666666667,6.166666666666667,-1.5,12.5,26.666666666666668,43.333333333333336,8.166666666666666,24.833333333333332,6.5,4.333333333333333,6.0,8.5,11.166666666666666,9.5,11.833333333333334,-2.3333333333333335,5.166666666666667,8.166666666666666,15.666666666666666,12.0,11.333333333333334,7.0,12.0,13.833333333333334,12.833333333333334,8.666666666666666,11.833333333333334,8.333333333333334,4.0,1.8333333333333333,-3.5,-6.0,-11.333333333333334,-12.666666666666666,-8.666666666666666,-10.333333333333334,-10.666666666666666,-12.333333333333334,-13.666666666666666,-17.166666666666668,-20.166666666666668,-15.166666666666666,-17.166666666666668,-10.166666666666666,-14.5,-14.5,-22.0,-23.5,-16.833333333333332,-19.833333333333332,-16.666666666666668,-17.666666666666668,-19.833333333333332,-19.0,-37.833333333333336,-16.5,-15.166666666666666,-12.0,-14.166666666666666,-15.833333333333334,-20.166666666666668,-22.833333333333332,-13.5,-12.333333333333334,-11.5,-25.833333333333332,-13.0,-15.5,-13.666666666666666,-9.333333333333334,-11.666666666666666,-19.0,-7.666666666666667,-7.166666666666667,-6.666666666666667,88.16666666666667,-349.0,-283.5
2,8.8128632552073e-07,2.423537395182008e-05,5.375846585676453e-05,1101.0,"Montgomery County, Alabama",11.833333333333334,-9.0,-7.0,-4.0,-0.8333333333333334,-7.666666666666667,5.0,13.833333333333334,-2.0,-9.666666666666666,3.0,9.5,10.0,11.666666666666666,22.5,15.5,-2.0,5.0,-4.5,5.333333333333333,6.833333333333333,14.5,11.5,7.166666666666667,5.666666666666667,10.5,15.5,8.833333333333334,10.833333333333334,2.3333333333333335,-2.6666666666666665,-1.1666666666666667,-1.0,-4.0,-6.166666666666667,-7.5,-22.0,-12.333333333333334,-8.666666666666666,-4.333333333333333,-6.0,-12.5,-10.0,-17.333333333333332,-15.166666666666666,-20.333333333333332,-4.833333333333333,-9.166666666666666,-10.5,-14.333333333333334,-23.333333333333332,-17.0,-22.333333333333332,-18.5,-12.0,-13.5,-9.833333333333334,-34.833333333333336,-13.166666666666666,-8.333333333333334,-6.5,-8.666666666666666,-11.333333333333334,-6.5,-36.5,-14.166666666666666,-9.166666666666666,-6.666666666666667,-24.0,-10.166666666666666,-5.166666666666667,-11.833333333333334,-9.333333333333334,-8.5,-14.166666666666666,-4.333333333333333,-2.6666666666666665,0.16666666666666666,37.666666666666664,-284.5,-211.0
3,6.062032421175749e-06,8.023278204497315e-05,9.235684688732465e-05,4005.0,"Coconino County, Arizona",7.833333333333333,16.0,16.166666666666668,11.0,12.0,12.5,9.166666666666666,-8.666666666666666,-1.5,8.166666666666666,10.0,10.333333333333334,13.333333333333334,7.0,1.1666666666666667,5.833333333333333,8.666666666666666,17.166666666666668,18.166666666666668,17.166666666666668,13.5,6.333333333333333,12.0,30.0,22.5,20.0,25.5,14.166666666666666,6.666666666666667,14.333333333333334,21.833333333333332,21.166666666666668,-7.666666666666667,-10.166666666666666,-12.666666666666666,-19.5,-21.0,-23.166666666666668,-13.5,-17.5,-20.0,-29.166666666666668,-28.166666666666668,-27.333333333333332,-21.833333333333332,-19.166666666666668,-23.166666666666668,-24.833333333333332,-25.333333333333332,-29.666666666666668,-30.666666666666668,-28.166666666666668,-21.666666666666668,-26.166666666666668,-25.166666666666668,-24.833333333333332,-34.833333333333336,-42.5,-32.666666666666664,-23.666666666666668,-20.166666666666668,-19.833333333333332,-20.666666666666668,-29.0,-27.333333333333332,-23.5,-20.166666666666668,-17.833333333333332,-17.0,-12.833333333333334,-16.166666666666668,-18.0,-14.833333333333334,-11.666666666666666,-14.0,-14.666666666666666,-11.0,-17.0,149.16666666666666,-513.6666666666666,-382.0
4,1.622035993683933e-06,2.0698589745488447e-05,2.8221075513297993e-05,4013.0,"Maricopa County, Arizona",2.1666666666666665,4.833333333333333,3.6666666666666665,3.6666666666666665,3.8333333333333335,4.833333333333333,3.6666666666666665,-9.5,3.8333333333333335,4.833333333333333,4.666666666666667,5.5,5.833333333333333,6.0,6.5,8.833333333333334,4.333333333333333,6.0,6.0,6.333333333333333,6.833333333333333,6.0,6.833333333333333,5.0,-0.3333333333333333,-6.166666666666667,-3.3333333333333335,-3.3333333333333335,0.0,1.3333333333333333,0.16666666666666666,-2.1666666666666665,-17.333333333333332,-11.0,-12.166666666666666,-15.166666666666666,-17.333333333333332,-16.166666666666668,-16.666666666666668,-18.833333333333332,-18.833333333333332,-21.666666666666668,-22.5,-21.833333333333332,-17.833333333333332,-21.166666666666668,-24.5,-23.666666666666668,-24.166666666666668,-27.666666666666668,-28.0,-24.166666666666668,-23.833333333333332,-25.833333333333332,-23.166666666666668,-24.0,-27.5,-32.666666666666664,-25.166666666666668,-23.0,-21.833333333333332,-21.833333333333332,-23.333333333333332,-24.333333333333332,-24.5,-22.333333333333332,-21.833333333333332,-22.5,-22.833333333333332,-23.833333333333332,-25.5,-26.333333333333332,-23.166666666666668,-23.666666666666668,-23.333333333333332,-21.666666666666668,-21.0,-23.833333333333332,-66.0,-468.5,-465.8333333333333
5,0.0,7.279291870486839e-06,2.1109946424411833e-05,4015.0,"Mohave County, Arizona",12.333333333333334,17.166666666666668,8.666666666666666,4.666666666666667,6.5,4.666666666666667,4.166666666666667,-8.5,6.0,5.5,4.333333333333333,7.0,4.666666666666667,1.5,2.5,5.833333333333333,0.6666666666666666,9.833333333333334,11.333333333333334,11.166666666666666,7.5,7.0,11.0,9.666666666666666,2.0,2.6666666666666665,-3.8333333333333335,0.3333333333333333,2.3333333333333335,8.166666666666666,5.166666666666667,1.6666666666666667,-8.666666666666666,-7.666666666666667,-8.166666666666666,-11.333333333333334,-12.833333333333334,-14.333333333333334,-9.333333333333334,-12.166666666666666,-15.333333333333334,-19.833333333333332,-19.333333333333332,-18.833333333333332,-14.333333333333334,-13.5,-14.666666666666666,-14.833333333333334,-15.666666666666666,-20.5,-22.833333333333332,-20.666666666666668,-18.5,-22.5,-19.5,-22.333333333333332,-20.166666666666668,-30.333333333333332,-19.0,-17.333333333333332,-8.833333333333334,-11.166666666666666,-13.5,-15.5,-12.833333333333334,-13.0,-11.833333333333334,-9.833333333333334,-9.833333333333334,-12.666666666666666,-8.666666666666666,-9.166666666666666,-10.0,-8.166666666666666,-6.5,-7.666666666666667,-6.166666666666667,-5.333333333333333,13.166666666666666,-365.1666666666667,-217.0
6,1.1499011085046687e-05,0.0001393680143507658,0.0001936433466721862,4017.0,"Navajo County, Arizona",5.833333333333333,10.0,6.5,8.333333333333334,6.166666666666667,7.833333333333333,3.5,-5.0,-1.0,7.5,7.5,7.833333333333333,10.666666666666666,5.333333333333333,5.666666666666667,7.833333333333333,7.666666666666667,13.5,10.666666666666666,13.333333333333334,8.0,12.166666666666666,14.0,18.833333333333332,14.333333333333334,8.666666666666666,13.166666666666666,12.0,11.166666666666666,16.333333333333332,16.333333333333332,14.166666666666666,-0.5,-6.166666666666667,-0.3333333333333333,0.5,-3.1666666666666665,-5.833333333333333,-1.5,-8.5,-7.666666666666667,-15.666666666666666,-8.833333333333334,-9.5,-8.166666666666666,-5.166666666666667,-12.0,-12.166666666666666,-11.666666666666666,-10.833333333333334,-14.833333333333334,-12.333333333333334,-9.166666666666666,-13.5,-9.166666666666666,-10.833333333333334,-16.166666666666668,-27.166666666666668,-19.5,-11.5,-8.0,-5.5,-5.833333333333333,-6.833333333333333,-8.333333333333334,-6.166666666666667,-6.166666666666667,-7.166666666666667,-1.3333333333333333,0.8333333333333334,5.666666666666667,1.5,2.3333333333333335,1.6666666666666667,-1.6666666666666667,-0.3333333333333333,1.0,-1.5,167.66666666666666,-224.83333333333334,-76.83333333333333
7,1.1767913215562674e-06,2.843912360427646e-05,3.098883813431504e-05,4019.0,"Pima County, Arizona",5.333333333333333,7.333333333333333,2.1666666666666665,5.666666666666667,4.833333333333333,6.333333333333333,-1.8333333333333333,-9.0,2.0,3.8333333333333335,3.6666666666666665,4.333333333333333,6.5,6.0,6.833333333333333,7.166666666666667,2.8333333333333335,5.0,7.166666666666667,6.666666666666667,6.333333333333333,7.0,1.5,6.833333333333333,5.0,3.6666666666666665,1.0,0.8333333333333334,1.6666666666666667,1.6666666666666667,-0.6666666666666666,-2.8333333333333335,-18.0,-12.666666666666666,-13.0,-16.666666666666668,-18.0,-16.833333333333332,-16.333333333333332,-18.0,-21.333333333333332,-24.333333333333332,-23.833333333333332,-24.0,-20.5,-21.166666666666668,-24.5,-24.166666666666668,-23.5,-27.833333333333332,-27.333333333333332,-25.0,-23.333333333333332,-25.833333333333332,-23.333333333333332,-24.166666666666668,-31.0,-32.333333333333336,-26.666666666666668,-23.666666666666668,-22.333333333333332,-22.833333333333332,-23.5,-25.0,-24.0,-22.833333333333332,-23.333333333333332,-22.833333333333332,-23.5,-24.0,-25.166666666666668,-25.833333333333332,-23.5,-23.833333333333332,-22.833333333333332,-22.5,-21.166666666666668,-23.666666666666668,-49.333333333333336,-481.8333333333333,-473.0
8,2.025154805215846e-06,1.6796872207966723e-05,3.180684311721358e-05,4021.0,"Pinal County, Arizona",4.333333333333333,11.666666666666666,4.333333333333333,2.6666666666666665,5.833333333333333,4.666666666666667,2.0,-9.333333333333334,4.666666666666667,4.5,4.5,6.166666666666667,6.166666666666667,4.5,6.166666666666667,10.166666666666666,4.666666666666667,7.166666666666667,8.333333333333334,5.5,7.5,13.0,13.0,6.333333333333333,1.3333333333333333,-1.3333333333333333,-1.0,-0.16666666666666666,1.1666666666666667,7.833333333333333,2.1666666666666665,0.5,-10.333333333333334,-8.166666666666666,-6.666666666666667,-11.833333333333334,-10.666666666666666,-12.833333333333334,-12.166666666666666,-14.0,-17.5,-19.5,-20.5,-16.666666666666668,-16.0,-18.5,-20.0,-21.5,-21.0,-25.5,-22.833333333333332,-22.333333333333332,-20.666666666666668,-23.0,-21.166666666666668,-22.833333333333332,-26.333333333333332,-28.666666666666668,-24.333333333333332,-21.5,-16.833333333333332,-20.333333333333332,-20.666666666666668,-22.5,-19.166666666666668,-20.333333333333332,-18.833333333333332,-19.666666666666668,-20.333333333333332,-22.166666666666668,-23.666666666666668,-22.0,-21.5,-19.666666666666668,-19.5,-20.333333333333332,-19.0,-22.333333333333332,3.6666666666666665,-410.6666666666667,-414.6666666666667
9,1.9306510155224342e-07,9.074059772955442e-06,1.1970036296239091e-05,5007.0,"Benton County, Arkansas",6.0,3.6666666666666665,3.6666666666666665,2.1666666666666665,11.333333333333334,2.6666666666666665,14.0,9.833333333333334,-9.666666666666666,-4.666666666666667,3.3333333333333335,4.5,11.666666666666666,21.0,28.166666666666668,5.666666666666667,8.666666666666666,18.0,15.666666666666666,25.5,22.5,28.0,9.0,-2.8333333333333335,23.0,26.5,36.166666666666664,11.833333333333334,-7.5,-9.166666666666666,-15.5,-3.8333333333333335,8.0,-17.833333333333332,-10.5,-5.5,-30.0,-16.833333333333332,-5.5,15.0,12.833333333333334,0.0,-13.666666666666666,-14.333333333333334,-27.833333333333332,-12.333333333333334,-1.8333333333333333,-6.166666666666667,-24.833333333333332,-30.333333333333332,-30.5,-22.333333333333332,-6.166666666666667,5.166666666666667,-5.5,-1.5,-18.333333333333332,-41.0,-30.166666666666668,-22.5,-1.8333333333333333,-1.1666666666666667,-17.166666666666668,-4.333333333333333,-28.666666666666668,-16.166666666666668,1.0,-24.333333333333332,-3.1666666666666665,-8.833333333333334,-4.666666666666667,-6.333333333333333,-22.833333333333332,-12.0,-3.0,12.833333333333334,18.5,14.333333333333334,86.66666666666667,-229.16666666666666,-160.5
